Accession,Description,_Coverage,_# Proteins,_# Unique Peptides,_# Peptides,_# PSMs,128_C/127_N,128_C/127_N Count,128_C/127_N Variability [%],128_N/126,128_N/126 Count,128_N/126 Variability [%],129_N/127_C,129_N/127_C Count,129_N/127_C Variability [%],"Score A(4,11)","Coverage A(4,11)","# Peptides A(4,11)","# PSM A(4,11)","Score A(7,9,12,14)","Coverage A(7,9,12,14)","# Peptides A(7,9,12,14)","# PSM A(7,9,12,14)","Score B(3,6,11,13,17,18)","Coverage B(3,6,11,13,17,18)","# Peptides B(3,6,11,13,17,18)","# PSM B(3,6,11,13,17,18)","Score B(8,10,15)","Coverage B(8,10,15)","# Peptides B(8,10,15)","# PSM B(8,10,15)",# AAs,MW [kDa],calc. pI
P51911,Calponin-1 OS=Homo sapiens GN=CNN1 PE=1 SV=2 - [CNN1_HUMAN],62.63,1,13,14,78,19.885,4;23,108.6,23.876,4;23,111.7,14.639,4;23,98.6,216.12 ,20.88,10,13,53.58 ,20.88,10,13,64.82 ,59.60,15,24,459.38 ,60.61,15,28,297,33.1,9.07
O14975,Very long-chain acyl-CoA synthetase OS=Homo sapiens GN=SLC27A2 PE=1 SV=2 - [S27A2_HUMAN],40.48,1,21,21,69,17.840,1;28,108.4,4.017,-;29,,13.058,1;29,101.0,86.45 ,11.77,3,3,15.91 ,11.77,4,4,76.79 ,40.48,25,37,313.72 ,38.39,18,25,620,70.3,8.51
P08670,Vimentin OS=Homo sapiens GN=VIM PE=1 SV=4 - [VIME_HUMAN],86.70,1,49,58,3056,16.328,41;542,88.0,11.577,34;540,85.4,14.593,60;604,93.5,4501.50 ,61.59,63,231,865.95 ,61.59,72,263,2958.97 ,83.26,83,1266,13639.27 ,84.12,65,1296,466,53.6,5.12
Q8IYA2,Putative coiled-coil domain-containing protein 144C OS=Homo sapiens GN=CCDC144CP PE=5 SV=3 - [C144C_HUMAN],1.70,1,1,2,7,15.780,-;1,,6.079,-;1,,4.782,-;1,,32.61 ,0.57,2,2,6.37 ,0.57,2,2,2.62 ,1.70,2,2,31.85 ,0.57,1,1,1237,143.0,5.69
O00151,PDZ and LIM domain protein 1 OS=Homo sapiens GN=PDLIM1 PE=1 SV=4 - [PDLI1_HUMAN],66.87,1,18,18,494,15.237,15;174,105.3,13.928,14;176,108.5,11.350,18;186,96.2,860.30 ,53.80,22,37,168.34 ,56.84,24,43,437.41 ,66.87,22,209,2436.74 ,65.65,19,205,329,36.0,7.02
O43790,"Keratin, type II cuticular Hb6 OS=Homo sapiens GN=KRT86 PE=1 SV=1 - [KRT86_HUMAN]",13.79,5,6,7,52,12.888,1;7,93.4,18.952,1;8,111.0,9.903,1;7,84.3,46.32 ,3.50,3,9,21.21 ,3.50,3,7,48.01 ,13.79,8,21,140.14 ,11.32,5,15,486,53.5,5.66
Q04695,"Keratin, type I cytoskeletal 17 OS=Homo sapiens GN=KRT17 PE=1 SV=2 - [K1C17_HUMAN]",76.39,4,22,39,279,11.525,11;52,94.4,8.501,11;52,78.5,7.811,11;52,72.5,443.75 ,38.89,35,48,183.17 ,38.89,38,52,247.33 ,74.31,44,93,1494.30 ,71.99,37,86,432,48.1,5.02
Q9BUF5,Tubulin beta-6 chain OS=Homo sapiens GN=TUBB6 PE=1 SV=1 - [TBB6_HUMAN],71.97,1,15,24,381,10.811,4;35,99.9,8.346,5;36,104.0,10.256,5;37,102.2,909.66 ,33.41,18,39,175.33 ,42.15,21,52,336.37 ,71.97,30,148,1909.04 ,71.75,27,142,446,49.8,4.88
P60763,Ras-related C3 botulinum toxin substrate 3 OS=Homo sapiens GN=RAC3 PE=1 SV=1 - [RAC3_HUMAN],36.98,2,1,6,46,8.852,-;1,,9.970,-;1,,10.011,-;1,,142.69 ,18.23,7,11,40.30 ,18.23,7,11,32.99 ,33.85,5,13,277.16 ,29.69,4,11,192,21.4,8.15
O60437,Periplakin OS=Homo sapiens GN=PPL PE=1 SV=4 - [PEPL_HUMAN],55.69,1,96,98,407,8.175,34;128,69.8,6.280,31;128,62.5,5.922,35;128,55.7,1025.29 ,28.59,60,66,287.38 ,28.36,72,80,382.93 ,46.92,91,134,1642.20 ,46.75,84,127,1756,204.6,5.60
Q8N4Y2,EF-hand calcium-binding domain-containing protein 4A OS=Homo sapiens GN=EFCAB4A PE=2 SV=3 - [EFC4A_HUMAN],2.76,1,1,1,1,7.641,-;1,,4.946,-;1,,4.511,-;1,,,,,,,,,,2.21 ,2.76,1,1,,,,,399,44.9,5.34
P48681,Nestin OS=Homo sapiens GN=NES PE=1 SV=2 - [NEST_HUMAN],61.88,2,77,79,543,7.354,48;155,55.4,6.806,48;155,66.0,6.234,48;155,55.7,1576.70 ,32.76,75,95,400.28 ,33.37,77,104,462.70 ,56.45,85,173,2409.12 ,54.04,73,171,1621,177.3,4.36
P17677,Neuromodulin OS=Homo sapiens GN=GAP43 PE=1 SV=1 - [NEUM_HUMAN],38.24,1,6,6,13,7.051,-;7,,6.374,-;6,,7.119,-;7,,,,,,,,,,22.12 ,38.24,8,8,197.43 ,27.73,5,5,238,24.8,4.72
P04798,Cytochrome P450 1A1 OS=Homo sapiens GN=CYP1A1 PE=1 SV=1 - [CP1A1_HUMAN],2.15,1,1,1,2,7.051,-;1,,3.016,-;1,,3.190,-;1,,,,,,,,,,2.36 ,2.15,1,1,60.34 ,2.15,1,1,512,58.1,8.35
P41219,Peripherin OS=Homo sapiens GN=PRPH PE=1 SV=2 - [PERI_HUMAN],8.30,1,1,5,316,6.651,1;-,,8.819,1;-,,6.886,1;-,,232.59 ,8.30,7,22,88.53 ,8.30,7,25,342.69 ,6.38,5,136,1958.94 ,6.17,3,133,470,53.6,5.47
Q8NFU3,Thiosulfate sulfurtransferase/rhodanese-like domain-containing protein 1 OS=Homo sapiens GN=TSTD1 PE=1 SV=3 - [TSTD1_HUMAN],54.78,1,3,3,7,6.011,1;2,94.2,2.730,1;2,65.3,3.051,1;2,59.4,38.14 ,7.83,1,1,5.43 ,7.83,2,2,6.35 ,46.96,2,2,43.64 ,46.96,2,2,115,12.5,6.07
Q14240,Eukaryotic initiation factor 4A-II OS=Homo sapiens GN=EIF4A2 PE=1 SV=2 - [IF4A2_HUMAN],73.22,1,12,29,371,5.997,4;34,68.5,6.033,4;35,69.0,5.444,4;36,64.7,883.41 ,47.91,26,47,204.16 ,46.19,27,52,331.34 ,73.22,45,143,1860.37 ,72.97,36,129,407,46.4,5.48
Q96S97,Myeloid-associated differentiation marker OS=Homo sapiens GN=MYADM PE=1 SV=2 - [MYADM_HUMAN],7.14,1,1,1,2,5.927,-;1,,6.530,-;1,,5.957,-;1,,,,,,,,,,7.05 ,7.14,1,1,118.62 ,7.14,1,1,322,35.3,8.15
Q702N8,Xin actin-binding repeat-containing protein 1 OS=Homo sapiens GN=XIRP1 PE=1 SV=1 - [XIRP1_HUMAN],37.93,1,41,41,108,5.835,2;50,67.1,3.767,1;51,46.1,6.235,2;51,80.9,112.16 ,3.47,4,4,17.73 ,3.47,4,4,154.85 ,35.65,40,50,641.74 ,35.54,40,50,1843,198.4,6.15
Q96Q06,Perilipin-4 OS=Homo sapiens GN=PLIN4 PE=2 SV=2 - [PLIN4_HUMAN],20.78,1,11,11,22,5.826,-;11,,4.290,-;11,,3.690,-;12,,,,,,,,,,27.36 ,19.97,11,11,215.85 ,18.20,10,11,1357,134.3,8.73
Q4L180,Filamin A-interacting protein 1-like OS=Homo sapiens GN=FILIP1L PE=1 SV=2 - [FIL1L_HUMAN],30.40,1,29,29,84,5.190,3;36,54.4,5.670,2;36,65.0,4.935,2;36,56.5,74.67 ,3.44,3,3,13.50 ,3.44,4,4,109.87 ,30.40,29,39,512.75 ,28.37,25,38,1135,130.3,6.57
O76070,Gamma-synuclein OS=Homo sapiens GN=SNCG PE=1 SV=2 - [SYUG_HUMAN],77.95,2,11,11,41,5.171,4;12,31.1,5.226,4;12,27.7,4.622,4;12,17.1,152.39 ,38.58,7,7,35.51 ,38.58,8,8,44.17 ,70.87,12,16,274.92 ,68.50,7,10,127,13.3,4.86
